"Spend over £25,000 - Publication template",,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
"Digital, Media, Culture and Sport",UKAD,24/02/2025,Testing,Testing,Kings College,45628," £149,172.59 "
"Digital, Media, Culture and Sport",UKAD,17/02/2025,Testing,Testing,Kings College,45574," £127,227.60 "
"Digital, Media, Culture and Sport",UKAD,17/02/2025,Legal Fees,Legal,Bird and Bird,45563," £46,295.31 "
"Digital, Media, Culture and Sport",UKAD,24/02/2025,Rent + Rates,Business Services ,Government Property Agency,45621," £30,104.85 "
